ts,price,qty
1754006400000,30015.218590120676,0.03334098247781992
1754006400300,30011.023319729666,0.011047089902687162
1754006400600,30011.31881119363,0.010237186189695064
1754006400900,30014.98806580814,0.0041384239224459465
1754006401200,30007.885051814275,0.012426278077178096
1754006401500,30007.903646862338,0.015262874580020576
1754006401800,30007.895631279498,0.007425182119953327
1754006402100,29992.103113217545,0.00967371426215109
1754006402400,30001.26102224128,0.006214042472715061
1754006402700,30006.66622291478,0.016470983583467866
1754006403000,30001.036639526592,0.025053205553278335
1754006403300,29999.492691555304,0.012837216945210273
1754006403600,30004.040653723932,0.01405879207337013
1754006403900,30001.68822139668,0.010229725065691872
1754006404200,29999.50343629852,0.006299948203486778
1754006404500,29986.427330692026,0.005750772597464102
1754006404800,29991.416710398757,0.007436198729224789
1754006405100,29992.53134026671,0.01069275624060894
1754006405400,29995.000966296822,0.009821178590297805
1754006405700,29981.26767972412,0.02000316373396049
1754006406000,29996.118377317005,0.0165386737690293
1754006406300,29997.507249567025,0.02784322124688195
1754006406600,29994.02348190018,0.016964761913014433
1754006406900,30012.287052002433,0.008331916613408812
1754006407200,30011.878413217517,0.010565825723798366
1754006407500,29998.819977142255,0.0031832266518583754
1754006407800,29995.173291562125,0.031644941885847974
1754006408100,29974.588835519975,0.006582986856916857
1754006408400,29984.026890108908,0.00743577339937757
1754006408700,29980.280850983483,0.03521441107484296
1754006409000,29973.603005839956,0.004678203804485627
1754006409300,29983.248295587367,0.006428172023308419
1754006409600,29968.400590287918,0.009465511208826768
1754006409900,29973.21476535662,0.006599678308675089
1754006410200,29954.657367997035,0.01053930313916474
1754006410500,29948.707532134686,0.011751269804507403
1754006410800,29937.890037860452,0.015421644990120225
1754006411100,29951.023457430485,0.009193738368997449
1754006411400,29966.897160151366,0.016076669519789515
1754006411700,29963.93585407,0.007859408595157063
1754006412000,29971.49431030814,0.015167930197585958
1754006412300,29969.876015578866,0.022516642586939525
1754006412600,29974.98387410319,0.002971433835738481
1754006412900,29968.21475369204,0.00848545873575917
1754006413200,29952.859925882472,0.01125253410709292
1754006413500,29936.661918803173,0.0026612802056618597
1754006413800,29940.102933353493,0.0011820674581079927
1754006414100,29960.297709210176,0.01234315151355081
1754006414400,29962.719302866582,0.0063304401374890355
1754006414700,29958.004099632097,0.017146472400117196
1754006415000,29975.193109692413,0.009860808936493397
1754006415300,29977.32713625625,0.00984058495770109
1754006415600,29978.23936606307,0.007780019611906384
1754006415900,29980.51100287122,0.01066455333147527
1754006416200,29979.320405704108,0.005281234857657988
1754006416500,29976.5371677963,0.006942833291855999
1754006416800,29963.635374333673,0.017168386264211976
1754006417100,29968.144858331645,0.008324698290366276
